Name,Address,phone,delivery_requests,frequency,email,comment
Mummy kosi eatery,pa ngele township stadium ,8064172640,yes,low,scholarchi2020@gmail.com,request is low but I am planning on integrating delivery services. 
Taste and see bar,pa ngele township stadium ,8030965241,no,low,,They come to eat physically 
Dorababy global resources ,No 1 gunning road ,8148926604,yes,medium ,,already have a delivery company but accepted to work with us if needed 
Mary chiamaka eatery ,No 10 gunning road abakaliki ,7068522629,yes,medium ,,The requests are within premises 
Lily's kitchen ,"No 1 nwele street, abakaliki ",9032831588,yes,medium ,,I get request but I am not consistent to start taking such order
Prince and princess canteen ,No 57 Nwele street abakaliki ,8034628048,no,low,,The kitchen will soon be operational again . the boss said they will need the services
Nwanyi uburu delicacy ,opposite lot 4 gate international market ,7066864012,yes,medium ,,we get the request but no delivery service to carry it out 
Great kitchin,"No 5 avenue, abakaliki",9012345789,no,low,grace@gmail.com,gets request often
Chop life eatery,"water park, abakaliki",8123419918,yes,high,,we get request all time
Sure cook,"waterworks, abakaliki",8178901234,no,low,bringers.ghh@gmail.com,delivery request is low
givers kitchen,pa ngele township stadium ,8035718993,yes,low,giverskitchen@gmail.com,request is low but I am planning on integrating delivery services. 
well being purer,pa ngele township stadium ,7076924867,no,low,,They come to eat physically 
eat well food,No 1 gunning road ,8118130742,yes,medium ,,already have a delivery company but accepted to work with us if needed 
edes chillings,No 10 gunning road abakaliki ,8059336617,yes,medium ,,The requests are within premises 
fast food kitchen,"No 1 nwele street, abakaliki ",8100542492,yes,medium ,opnmid@gmail.com,I get request but I am not consistent to start taking such order
ononando kichen,No 57 Nwele street abakaliki ,7041748367,no,low,uton@yahoo.com,The kitchen will soon be operational again . the boss said they will need the services
tasty meals,opposite lot 4 gate international market ,9082954241,yes,medium ,,we get the request but no delivery service to carry it out 
good food,"No 5 avenue, abakaliki",9024160116,no,low,grace@gmail.com,gets request often
calabar kitchen,"water park, abakaliki",8165365991,yes,high,,we get request all time
new food,"waterworks, abakaliki",9006571866,no,low,bringers.ghh@gmail.com,delivery request is low
